,index,artist,title,mood,lyrics
918,924,The Cure,Us Or Them,angry,there is no terror in my heart death is with us all we suck him down with our first breath and spit him out as we fall there is no terror in my heart no dread of the unknown desire for paradise to be shall we love this on our own i dont want you anywhere near me i dont want you anywhere near me get your fucking world out of my head i dont want your us or them no i dont need your us or them oh i dont want your us or them i dont need your us or them youre us or them i live in knowledge of real truth and all my gods are great the doleful cant of a bigot blinded by fear and hate you live in knowledge of real truth the biggest lie i heard how sick in your mind and your soul to be scared of my voice and my words you dont want me anywhere near you you dont want me anywhere near you get my fucking head out of your world you dont want me anywhere near you you dont want me anywhere near you get my fucking head out of your world i dont want your us or them no i dont need your us or them oh i dont want your us or them i dont need your us or them as the only way this ever ends is me
919,925,System of a Down,Prison Song,angry,theyre tryna build a prison theyre tryna build a prison oh following the rights movements you clamped down with your iron fists drugs became conveniently available for all the kids following the rights movements you clamped down with your iron fists drugs became conveniently available for all the kids i buy my crack i smack my bitch right here in hollywood nearly two million americans are incarcerated in the prison system prison system of the u s theyre tryna build a prison theyre tryna build a prison theyre tryna build a prison theyre tryna build a prison for you and me to live in another prison system another prison system another prison system for you and me 00 minor drug offenders fill your prisons you dont even flinch all our taxes paying for your wars against the new non rich minor drug offenders fill your prisons you dont even flinch all our taxes paying for your wars against the new non rich i buy my crack i smack my bitch right here in hollywood the percentage of americans in the prison system prison system has doubled since one thousand nine hundred and eighty five theyre tryna build a prison theyre tryna build a prison theyre tryna build a prison theyre tryna build a prison for you and me to live in another prison system another prison system another prison system for you and me for you and i you and i you and i you and i theyre tryna build a prison theyre tryna build a prison theyre tryna build a prison for you and me oh baby you and me oh oh all research and successful drug policy shows that treatment should be increased oh and law enforcement decreased while abolishing mandatory minimum sentences oh all research and successful drug policy shows that treatment should be increased oh and law enforcement decreased while abolishing mandatory minimum sentences utilizing drugs to pay for secret wars around the world drugs are now your global policy now you police the globe i buy my crack my smack my bitch right here in hollywood drug money is used to rig elections and train brutal corporate sponsored dictators around the world theyre tryna build a prison theyre tryna build a prison theyre tryna build a prison theyre tryna build a prison for you and me to live in another prison system another prison system another prison system for you and me for you and i you and i you and i you and me theyre tryna build a prison theyre tryna build a prison theyre tryna build a prison for you and me oh baby you and me
920,926,Ozzy Osbourne,Gets Me Through,angry,im not the kind of person you think i am im not the anti christ or the iron man i have a vision that i just cant control i feel ive lost my spirit and sold my soul got no control i try to entertain you the best i can i wish id started walking before i ran but i still love the feeling i get from you i hope youll never stop cause it gets me through yeah it gets me through yeah the feelings that i hide behind sometimes realitys unkind the nightmares stalk for me at night i dread the long and lonely nights im not the kind of person you think i am im not the anti christ or the iron man but i still love the feeling i get from you i hope youll never stop cause it gets me through yeah im just trying to live yeah
921,927,Lene Marlin,When You Were Around,relaxed,i miss those times i miss those days when you were around so many ways and it felt so safe and i was glad but now somethings changed that makes me sad and i was waiting patiently but you never came i realize it now wont ever be the same again wont ever be the same again if youre doing fine i dont know you see i gave up calling long time ago havent heard from you i guess that means that im no good no more thats what it seems and i was waiting patiently but you never came i realize it now wont ever be the same again wont ever be the same again you see i gave up waiting for you to care youre not there and i wonder if you ever were and i was waiting patiently but you never came i realize it now wont ever be the same again wont ever be the same again and i was waiting patiently but you never came i realize it now wont ever be the same again wont ever be the same again
922,928,Strokes,Hard to Explain,angry,was an honest man asked me for the phone tried to take control oh i dont see it that way i dont see it that way we shared some ideas all obsessed with fame says were all the same oh i dont see it that way i dont see it that way raised in carolina im not like that tryin to remind her when we go back i missed the last bus ill take the next train ill try but you see its hard to explain i say the right thing but act the wrong way i like it right here but i cannot stay i watch the tv forget what im told well i am too young and they are too old the joke is on you this place is a zoo youre right its true he says he cant decide i shake my head to say everythings just great oh i just cant remember i just cant remember raised in carolina she says im not like that tryin to remind her when we go back i say the right thing but act the wrong way i like it right here but i cannot stay i watch the tv forget what im told well i am too young and they are too old oh man cant you see im nervous so please pretend to be nice so i can be mean i missed the last bus well take the next train ill try but you see its hard to explain
923,930,Powderfinger,My Kind Of Scene,relaxed,tell me where im supposed to begin an unhappy life workin some kind of dead end job for everything you thought you had has gone from worse to bad so lean to the side whisper it quiet the end is in sight to working all night around the clock for everything you thought you had has gone from worse to bad but its not my kind of scene oh yeah footprints on the other side remind me where ive been oh yeah ill watch from the other side tell me where im supposed to begin move out of sight and onto some life im dreamin of for everything you thought you had has gone from worse to bad so ill just wait and watch the wheels while youre turning back but its not my kind of scene oh yeah footprints on the other side remind me where ive been oh yeah ill watch from the other side it pulls me over and it drags me under it pulls me over and it drags me under tell me where im supposed to begin an unhappy life workin alright now alright now alright now alright now but its not my kind of scene oh yeah footprints on the other side remind me where ive been oh yeah ill watch from the other side alright now alright now ill watch from the other side alright now alright now ill watch from the other side
924,931,Vio-Lence,Serial Killer,angry,ive tasted the thrill of a kill the thrill of my victims im crushing destroying their will demented a figure of speech my mind is lost eternally out of my reach richard in your glass case stand to be judged their deaths written there all over your face ted a twelve year old your body should rot out in public for women youve killed run for your life im the serial killer ive come to bury you today no family no funeral no rosaries for slain on this hillside my silent grave my silent grave my silent grave thats where you lay run for your life im the serial killer ive come to bury you today no family no funeral no rosaries for slain on this hillside my silent grave my silent grave my silent grave thats where you lay buried dead bodies behind their last words are still etched clearly into his mind driven possessed by a will a will that takes over and drives him out for the kill submit submit to me now he screams out in anger bloody thristy as you cower down its time he raises the blade you cry out to god for your innocent life to be saved run for your life im the serial killer ive come to bury you today no family no funeral no rosaries for slain on this hillside my silent grave my silent grave my silent grave thats where you lay
925,932,Silverchair,Spawn Again,angry,death becomes clearer through bloodshot eyes as a death from old age becomes nearer why cant the livestock be free when trading soldiers for steak learn to evolve with the new transition to act upon a hypocritical vision discard the old and in with the new discard the old and in with the fashion learn to evolve with the new transition to act upon a hypocritical vision learn to evolve learn to learn to evolve who is the bad guy for iron require mince these are the facts so eat what you murder this is animal liberation eight billion killed for human pleasure bring on the ape farm demolish the monkeys drink up drink up look down on junkies a new hypocritical look and ambition the time has come to make the decision you drink up drink up look down ill hold it back ill hold it back discard the old in with the fashion death becomes clearer through bloodshot eyes death becomes clearer through bloodshot eyes
926,933,Sepultura,Dead Embryonic Cells,angry,land of anger i didnt ask to be born sadness sorrow everything so alone laboratory sickness infects humanity no hope for cure die by technology a world full of shit coming down tribal violence everywhere life in the age of terrorism we spit in your other face war of races world without intelligence a place consumed by time end of it all were born with pain no more were dead embryonic cells corrosion inside we feel condemned future we see emptiness calls we hear final premonition the truth land of anger i didnt ask to be born sadness sorrow everything so alone laboratory sickness infects humanity no hope for cure die by technology were born with pain suffer remains were born with pain suffer remains were dead
927,934,Steely Dan,Only A Fool Would Say That,relaxed,a world become one of salads and sun only a fool would say that a boy with a plan a natural man wearing a white stetson hat unhand that gun begone theres no one to fire upon if hes holding it high hes telling a lie i heard it was you talking bout a world where all is free it just couldnt be and only a fool would say that the man in the street dragging his feet dont wanna hear the bad news imagine your face there in his place standing inside his brown shoes you do his nine to five drag yourself home half alive and there on the screen a man with a dream i heard it was you talking bout a world where all is free it just couldnt be and only a fool would say that anybody on the street has murder in his eyes you feel no pain and youre younger than you realize only a fool would say that only a fool i heard it was you talking bout a world where all is free it just couldnt be and only a fool would say that only a fool would say that only a fool would say that
928,935,IVY,I Think Of You,relaxed,i think of you whenever im alone whenever i get lonely i think of you wherever you may go i know that you are only one dream away so dont give up baby dont give in if we try we can begin again i know what weve been through but i still think of you i think of you whenever i get down whenever i get dreary i think of you when youre not around i wonder if you hear me call out your name so dont give up baby dont give in if we try we can begin again i know what weve been through but i still think of you i think of you whenever im alone whenever i get lonely i think of you whenever i get down whenever i get weary i think of you whenever im alone whenever i get lonely i think of you
929,936,Black Sabbath,Lonely Is The Word,sad,its a long way to nowhere and im leaving very soon on the way we pass so close to the back side of the moon hey join the traveler if youve got nowhere to go hang your head and take my hand its the only road i know oh lonely is the word yeah yeah yeah ive been higher than stardust ive been seen upon the sun i used to count in millions then but now i only count in one cmon join the traveler if youve got nowhere to go hang your head and take my hand its the only road i know yeah lonely is the word got to be the saddest song ive ever heard yeah lonely is the name maybe lifes a losing game
930,937,The Rakes,We Are All Animals,happy,we are the animals who have lost our hair retained some of our teeth and gained a choice well chase food money and sex until satisfied and when its time to rest ask whats next we are all animals we are all animals we are all animals we are all animals well its hard enough to retain control when our instincts are egging us on biologists and chemists reducing our souls to four letters and when we think about it were like a masterpiece whos glimpsed the artist we are the machines carrying our various genes then discarded when the job is done we are the disciples who have lost our way kicked from our pedestal when darwin burnt the book we are all animals we are all animals we are all animals we are all animals well its hard enough to retain control when our instincts are egging us on biologists and chemists reducing our souls to four letters will genes replace genesis were like a masterpiece whos glimpsed the artist we like to think were at a special place the stars revolve around the human race but were just mammals just primates like chimps or gorillas we see the hair on our face and look at another primate you and i we relate we are all animals we are all animals we are all animals we are all animals we are all animals we are all animals we are all animals we are all animals
931,938,Nice & Smooth,Sometimes I Rhyme Slow,relaxed,sometimes i rhyme slow sometimes i rhyme quick sometimes i rhyme slow sometimes i rhyme quick sometimes i rhyme slow sometimes i rhyme quick im sweeter and thicker than a chick o stick heres an ice cream cone honey take a lick or go to bay plaza and catch a flick wore my timberland boots so i can stomp ticks scandalous get a whiff of this miss just left the yard boys now im blissed i feel good per say good state of mind drive a red sterling and the seats recline i love it when a lady treats me kind go to tavern on the green and have a glass of wine he say she say i heard it through the grapevine no static got an automatic too much of anything makes you an addict teasin skeezin all so pleasin dont ask why i got my own reasons smooth b greg nice slick nick clique sometimes i rhyme slow sometimes i rhyme quick sometimes i rhyme slow sometimes i rhyme quick sometimes i rhyme slow sometimes i rhyme quick sometimes i rhyme slow sometimes i rhyme quick sometimes i rhyme slow sometimes i rhyme quick i was on one hundred and twenty five and saint nick waiting on a cab standing in the rain under my heart three clouds of pain she got the best of me what was her destiny maybe i should lick her with my nine millime ter my mind is in a blur cause you could never pay me to think this would occur me and this girl jane doe was living together we were inseparable noone could sever at least thats what i thought but later i fought with her substance and almost ended up in supreme court when i was on the road doing shows getting ends she was in my benz getting sniffy with her friends and even when she crashed my whip i didnt flip my man slick nick said smooth youre starting to slip time went on i started noticing weight loss then i had to ask her was she riding the white horse at first she said no then she said yo smooth im sorry but i keep having visions of snow i need blow and i said whoa little hottie im not delorean gambino or gotti i dont deal coke and furthermore youre making me broke ill put you in a rehab and i wont tell your folks and what do you know in eighteen months she came home and i let her back in and now shes sniffing again sometimes i rhyme slow sometimes i rhyme quick sometimes i rhyme slow sometimes i rhyme quick sometimes i rhyme slow sometimes i rhyme quick
932,939,Korn,Dead Bodies Everywhere,angry,come on step inside and you will realize tell me what you need tell me what to be whats your vision youll see what do you expect of me i cant live that lie hey a sick mom with a fucked dad dealing with your life dead bodies everywhere you really want me to be a good son why you make me feel like no one let me strip the plain let me not give in free me of your lies inside my heart dies your dreams never achieved dont lay that shit on me let me live my life hey a sick mom with a fucked dad dealing with your life dead bodies everywhere you really want me to be a good son why you make me feel like no one you want me to be something i can never ever be you want me to be something i can never ever be a sick mom with a fucked dad dealing with your life dead bodies everywhere you really want me to be a good son why you make me feel like no one dead bodies everywhere dead bodies everywhere dead bodies everywhere dead bodies everywhere dead bodies everywhere dead bodies everywhere dead bodies everywhere dead bodies everywhere
933,940,Patty Griffin,Heavenly Day,relaxed,oh heavenly day all the clouds blew away got no trouble today with anyone the smile on your face i live only to see its enough for me baby its enough for me oh heavenly day heavenly day heavenly day tomorrow may rain with sorrow heres a little time we can borrow forget all our troubles in these moments so few all weve got right now the only thing that all that we really have to do is have ourselves a heavenly day lay here and watch the trees sway oh cant see no other way no way no way heavenly day heavenly day heavenly day no one at my shoulder bringing me fears got no clouds up above me bringing me tears got nothing to tell you ive got nothing much to say only im glad to be here with you on this heavenly heavenly heavenly heavenly heavenly day all the troubles gone away for a while anyway for a while anyway heavenly day heavenly day heavenly day heavenly day heavenly day heavenly day
934,941,Peter Tosh,Legalize It,relaxed,legalize it and dont criticize it legalize it yeah yeah and i will advertise it some call it tampje tampje some call it the weed tampje some call it marijuana marijuana some of them call it ganja ganja legalize it and dont criticize it legalize it yeah yeah and i will advertise it singers smoke it and players of instrument too legalize it yeah yeah thats the best thing you can do doctors smoke it nurses smoke it judges smoke it even the lawyer do so youve got to legalize it and dont criticize it legalize it yeah yeah and i will advertise it its good for the flu good for asthma good for tuberculosis even umara composis got to legalize it and dont criticize it legalize it yeah yeah and i will advertise it bird eat it ants love it fowls eat it goats love to play with it so youve got to legalize it and dont criticize it legalize it yeah yeah and i will advertise it
935,942,Godsmack,Cryin' Like a Bitch,angry,strut on by like a king telling everybody they know nothing and long lived what you thought you were time aint on your side anymore anymore and so you tell me i cant take my chances but ive told you one too many times and you were cryin like a bitch im tougher than nails i can promise you that step outta line and youll get bitch slapped back and you can run your little mouth all day but the hand of god just smacked you back into yesterday and so you tell me i cant take my chances but ive told you one too many times and you were cryin like a bitch and you wonder why no one can stand you theres no denying you were cryin like a bitch you were cryin like a bitch blinded by your sacred faded past times only time is your enemy granted a second chance to prove that your arrogance is stronger than youll ever be its stronger than you can be oh stronger than you can be oh stronger than you can be and so you tell me i cant take my chances but ive told you one too many times and you were cryin like a bitch and you wonder why no one can stand you theres no denyin you were cryin like a bitch you were cryin like a bitch you were cryin like a bitch you were cryin like a bitch oh bitch
936,943,Edyta Górniak,Soul Boy,relaxed,wont you be my soul boy wont you be my soul theres been no one like you trusted and true i just wanna be loved by you just wanna be loved by you like a soul boy wont you be my soul boy and take me as i am i had enough of bad dreams and one night stands baby i just wanna be loved by you i want to be really loved by you like a soul boy take me as i am boy hold me while you can theres not a woman in the world lovin you better than i do take me as i am be like a soul boy i dont wanna be with no one else i don t wanna kiss no one else i want you to be ma soul boy no more fighting and no more leaving it aint exciting and i quit believing that youre my soul boy soul boy soul boy
937,944,Saosin,It's So Simple,angry,i never thought you would lose yourself the hardest part was falling down again have you had enough yet im a fool to watch you walk away are you bothered by the choice you made when we fall to the ground slowly were safe and sound its so simple to be afraid its so simple when you know who you are its so simple to be afraid its so simple when you know who you are i caught you lying to yourself now everything is speeding round and around they take us to the ground well im a fool to watch but never say are you bothered by the choice you made when we fall to the ground slowly were safe and sound its so simple to be afraid its so simple when you know who you are its so simple to be afraid its so simple when you know who you are but maybe we were wrong when will you know that you can feel belonged i think you fell in deeper than you imagined its so simple to be afraid its so simple its so simple when you know who you are its so simple to be afraid its so simple its so simple when you know who you are
938,945,Lisa Stansfield,Soul Deep,relaxed,soul deep is the love im feeling inside i always rise above whenever i try soul deep is the love i feel for myself only i can make me feel this way and nobody else see it this way when i feel down and feel dismayed the only option is to come to me come what may i can ask whoevers there whoever cares but its up to me at the end of the day ill always try to see it my way ill always see it my way soul deep is the love im feeling inside i always rise above whenever i try soul deep is the love i feel for myself only i can make me feel this way and nobody else when im blue its always me who pulls me through nobody else can see myself the way i do im sticking to me baby cos im the one who cares the most about myself at the end of the day ill always try to see it my way ill always see it my way soul deep is the love im feeling inside i always rise above whenever i try soul deep is the love i feel for myself only i can make me feel this way and nobody else soul deep is the love im feeling inside i always rise above whenever i try soul deep is the love i feel for myself only i can make me feel this way and nobody else ill always try to see it my way ill always see it my way soul deep is the love im feeling inside i always rise above whenever i try soul deep is the love i feel for myself only i can make me feel this way and nobody else
939,946,Ricky Martin,She Bangs,happy,oh every day every day its sunshine talk to me tell me your name you blow me off like its all the same you lit a fuse and now im ticking away like a bomb yeah baby talk to me tell me your sign youre switching sides like a gemini youre playing games and now youre hitting my heart like a drum yeah baby well if lady luck gets on my side were gonna rock this town alive ill let her rough me up til she knocks me out cause she walks like she talks and she talks like she walks she bangs she bangs oh baby when she moves she moves i go crazy cause she looks like a flower but she stings like a bee like every girl in history she bangs she bangs im wasted by the way she moves no one ever looked so fine she reminds me that a womans got one thing on her mind talk to me tell me your name im just a link in your daisy chain your rap sounds like a diamond map to the stars yeah baby talk to me tell me the news youll wear me out like a pair of shoes well dance until the band goes home then youre gone yeah baby well if it looks like love should be a crime then better lock me up for life ill do the time with a smile on my face thinking of her in her leather and lace she bangs she bangs oh baby when she moves she moves i go crazy cause she looks like a flower but she stings like a bee like every girl in history she bangs she bangs im wasted by the way she moves no one ever looked so fine she reminds me that a womans got one thing on her mind man if lady luck gets on my side were gonna rock this town alive ill let her rough me up till she knocks me out cause she walks like she talks and she talks like she walks she bangs she bangs oh baby when she moves she moves i go crazy cause she looks like a flower but she stings like a bee like every girl in history she bangs she bangs she moves she moves she bangs she bangs she moves she moves
940,947,Suicide,Frankie Teardrop,angry,frankie teardrop twenty year old frankie hes married hes got a kid and hes working in a factory hes working from seven to five hes just trying to survive well lets hear it for frankie frankie frankie but frankie cant make it cause things are just too hard frankie cant make enough money frankie cant buy enough food and frankies getting evicted well lets hear it for frankie oh frankie frankie oh frankie frankie frankies so desperate hes gonna kill his wife and kid frankies gonna kill his kid hmm frankie picked up a gun hmm pointed at the six month old kid in the crib oh frankie ah frankie looked at his wife shot her ah ah ugh ugh oh what have i done lets hear it for frankie frankie teardrop hmm frankie put the gun to his head mmh uh uh ah hmm and he went mhm ah mmh frankies dead ah ah mmh ah ooh frankie ah ah ah ah frankies lying in hell ah ah ah ah ah come on get up were all frankies were all lying in hell come on get up come on ah ah ah
941,948,The Contours,Do You Love Me,happy,you broke my heart cause i couldnt dance you didnt even want me around and now im back to let you know i can really shake em down do you love me i can really move do you love me im in the groove ah do you love me do you love me now that i can dance dance watch me now hey work work ah work it out baby work work well youre drivin me crazy work work with a little bit of soul now work i can mash potato i can mash potato and i can do the twist i can do the twist now tell me baby tell me baby do you like it like this do you like it like this tell me tell me tell me do you love me do you love me now do you love me do you love me now do you love me do you love me now that i can dance dance dance watch me now oh work work ah shake it up shake it work work ah shake em shake em down work work ah little bit of soul now work work work ah shake it shake it baby work work ah youre driving me crazy work work ah dont get lazy work i can mash potato i can mash potato and i can do the twist i can do the twist well now tell me baby tell me baby do you like it like this do you like it like this tell me tell me tell me do you love me do you love me now do you love me do you love me now do you love me do you love me now that i can dance hey work work ah im working hard baby work work well youre driving me crazy work work and dont you get lazy work work work ah hey hey baby work work well youre driving me crazy work work and dont you get lazy work
942,949,Nine Inch Nails,Burn,angry,this world rejects me this world threw me away this world never gave me a chance this worlds gonna have to pay i dont believe in your institutions i did what you wanted me to im like the cancer in your system ive got a little surprise for you something inside of me has opened up its eyes why did you put it there did you not realize this thing inside of me it screams the loudest sound sometimes i think i could burn burn i look down from where youre standing flock of sheep out on display with all your lies propped up around you i can take it all away something inside of me has opened up its eyes why did you put it there did you not realize something inside of me it screams the loudest sound sometimes i think i could im going to burn this whole world down i never was a part of you burn i never was a part of you burn i never was a part of you burn i never was a part of you burn i never was a part of you burn i never was a part of you burn i never was a part of you burn i never was a part of you burn i am your savior burn i am corruption burn i am the angel burn of your destruction burn i am subversion burn secret desire burn i am your future burn swallowed up in fire
943,950,Ziggy Marley,Melancholy Mood,relaxed,a little collie weed to ease i grief too much agony living in the limits of big city a little collie weed to meditate too much insanity in this society melancholy mood i eat for my food melancholy mood rise this morning smile with the sun oh im blessed another day has begun everything in life has its purpose find its reason it has its season melancholy mood i eat for my food melancholy mood tears leave my eyes i just want to fly deep down i feel pain but i know i must rise again from this melancholy mood melancholy mood melancholy mood i eat for my food melancholy mood
944,951,Enya,A Moment Lost,relaxed,its only now when words are said that break my heart in two i wonder how you can endure all ive said all i say to you how strong how brave how true of you to bear the hurt i gave i know it tears your heart in two all ive said all i say to you after all the words are said after all the dreams we made every one a precious one every one a summer sun a moment lost forever gone can never be again so know how much it means to me all you said all you gave all your love to me
945,952,Firefall,Strange Way,relaxed,didnt i hear you cry this morning didnt i feel you weep teardrops flowin down on me like rivers in my sleep and in my dream of laughter you came creepin with your fears telling me your sorrows in the tracings of your tears thats a strange way to tell me you love me when your sorrow is all i can see if you just want to cry to somebody dont cry to me no dont cry to me no didnt i hear your voice this morning didnt you call my name i heard you whisper softly but the words were never plain and in your dream of darkness i came shinin like the sun waiting for the laughter but the laughter never comes thats a strange way to tell me you love me when your sorrow is all i can see if you just want to cry to somebody dont cry to me no dont cry to me no didnt you feel alone this morning didnt you need a friend and in your darkest hour you came runnin back again thats a strange way to tell me you love me thats a strange way to tell me you love me thats a strange way to tell me you love me
946,953,Bob Rivers,Who Put the Stump?,happy,id like to find the guy who done me wrong and stuck my butt up on this christmas tree who put the stump in my rump ba bump ba bump who took and jammed it in my ram a lam a ding dong who stood the wood where i poop she poop she poop who put the stick up my hipty dipty dip who was that man he shoved it up my can and left me stranded on this christmas zero point yeah point zero when this angel heard chop ba ba bop di chop ba ba bop a dreadful fear went right into my heart those pine tree needles sting me ram a jam a ram a jammin in my ding dong youll never know how much that zero point hooah point zero so who put the stump in my rump ba bump ba bump who took and jammed it in my ram a lam a ding dong who stood the wood where i poop she poop she poop who put the stick up my hipty dipty dip who took that bush and crammed it in my tush he made this angel beg for mercy zero point yow point zero each night when im alone scratchity scratchity scratchity scratchity scratchity scratchity shoop point zero it sets my tiny bottom all aglow and every time i wiggle slipty din de din slipty din de din a little further in it zero point ohhh yeah point zero rump ba bump ba bump ram a lam a ding dong slipty din de din poopity poopity shoop point zero
947,954,Rage Against the Machine,Maggie's Farm,angry,i aint gonna work on maggies farm no more no i aint gonna work on maggies farm no more well i wake up in the morning fold my hands and pray for rain i got a head full of ideas that are drivin me insane its a shame the way she makes me scrub the floor i aint gonna work on nah i aint gonna work on maggies farm no more i aint gonna work for maggies brother no more nah i aint gonna work for maggies brother no more well he hands you a nickel and he hands you a dime and he asks you with a grin if youre havin a good time then he fines you every time you slam the door i aint gonna work for nah i aint gonna work for maggies brother no more i aint gonna work for maggies pa no more no i aint gonna work for maggies pa no more well he puts his cigar out in your face just for kicks his bedroom window it is made out of bricks the national guard point zero around his door i aint gonna work for nah i aint gonna work for maggies pa no more i aint gonna work for maggies ma no more no i aint gonna work for maggies ma no more well she talks to all the servants about man and god and law and everybody says shes the brains behind ma shes sixty eight but she says shes twenty four i aint gonna work for nah i aint gonna work for maggies ma no more i aint gonna work on maggies farm no more no i aint gonna work on maggies farm no more well i try my best to be just like i am but everybody wants you to be just like them they sing while they slave and i just get bored i aint gonna work on nah i aint gonna work on maggies farm no more
948,955,Abra Moore,On the Way,relaxed,on the way to your house i feel new i feel color i m with you on the way to your room i m alive i m a flutter i m a bloom and time it stands still and we wait until the light flickers and fades on the way to your heart i feel blue i feel a stutter without you does this light have a chance on the way to your house i feel new i feel color i m with you
949,956,Diamond Head,Am I Evil?,angry,ah my mother was a witch she was burned alive thankless little bitch for the tears i cried take her down now dont want to see her face blistered and burned cant hide my disgrace twenty seven everyone was nice got to see them make them pay the price see their bodies out on the ice take my time am i evil yes i am am i evil i am man yes i am as i watched my mother die i lost my head revenge now i sought to break with my bread taking no chances you come with me ill split you to the bone help set you free twenty seven everyone was nice got to see them make them pay the price see their bodies out on the ice take my time am i evil yes i am am i evil i am man yes i am ohoh on with the action now ill strip your pride ill spread your blood around ill see you ride your face is scarred with steel wounds deep and neat like a double dozen before you smells so sweet am i evil yes i am am i evil i am man my soul is longing before await my hell sent to avenge my mother sleep myself my face is long forgotten my face not my own sweet and timely whore take me home am i evil yes i am am i evil i am man yes i am ohh on with the action now ill strip your pride ill spread your blood around ill see you ride your face is scarred with steel your spirits dance like a double dozen before you no romance am i evil yes i am am i evil i am man am i evil yes i am am i evil i am man yes i am
950,957,Ella Fitzgerald,In A Mellow Tone,relaxed,in a mellow tone feeling fancy free and im not alone ive got company everythings ok the live long day with this mellow song i cant go wrong in a mellow tone thats the way to live if you mope and groan somethings gotta give just go your way and laugh and play theres joy unknown in a mellow tone scat in a mellow tone bridge in a mellow tone feeling fancy free and im not alone ive got company everythings ok the live long day with this mellow song i cant go wrong in a mellow tone thats the way to live if you mope and groan somethings gotta give just go your way and laugh and play theres joy unknown in a mellow tone in a mellow tone in a mellow tone
951,958,Rage Against the Machine,Without a Face,angry,uh got no card so i got not soul life is prison no parole no control the jura got my number on a wire tap cause i jack for similac fuck a cadillac survive one motive no hope cause every sidewalk i walk is like a tightrope yes i know my deadline sire when my life expires im sendin paper south under the barbed wire the mother of my child will lose her mind at my grave its my life for their life so call it a free trade por vida and our name up on the stall i took a death trip when i tried to cross the white wall walk unseen past the graves and the gates born without a face one motive no hope uh born without a face walk unseen past the graves and the gates born without a face one motive no hope uh yeah born without a face without a face yeah i tried to look back to my past long lost a blood donor to the land owner holocaust pops heart stopped in came the air drop flooded the trench he couldnt shake the toxic shock maize was all we needed to sustain now her golden skin burns insecticide rain ya down wit ddt yeah you know me im raped for the grapes profit for the bourgeoisie war tape boomin path is luminoso im headed north like my name was kid cisco to survive one motive no hope uh its hard to breathe with wilsons hand around my throat uh strangled and mangled another ss curtain call when i tried to cross the white walls when i tried to cross the white walls walk unseen past the graves and the gates born without a face one motive no hope uh born without a face walk unseen past the graves and the gates born without a face one motive no hope uh born without a face you say fortify reaction you divide you say fortify reaction re action you say fortify reaction re action you say fortify reaction you divide
952,959,Celtic Woman,Away In A Manger,relaxed,away in a manger no crib for his bed the little lord jesus laid down his sweet head the stars in the bright sky looked down where he lay the little lord jesus asleep on the hay the cattle are lowing the baby awakes a little lord jesus no crying he makes i love thee lord jesus look down from the sky and stay by my side til morning is nigh be near me lord jesus i ask thee to stay close by me forever and love me i pray bless all the dear children in thy tender care and take us to heaven to live with thee there zero
953,960,Tristania,Deadlands,sad,i failed to impress you and you feel free to abuse me all has been in vain were through so please stop pretending years i spent were wasted on you words have been spoken my chains have been broken this street has an end i have failed never will again my life was invaded by you this image of straws that break against the wind were through but the world keeps spinning endlessly weight off my shoulders unleashed no more hiding leaving deadlands release me words have been spoken my chains have been broken this street has an end i have failed never will again on your own bitter and old dead and gone carved in stone words have been spoken my chains have been broken this street has an end i have failed never will again
954,961,Cavalera Conspiracy,Hearts of Darkness,angry,this world in sin of plagues and pain we fall we crawl no war no more them eyes they bled for a thousand days them eyes they bled in a thousand ways this war was heard around the world it made our ways insane again their mouths were shut they blot out the sun they fought this war like never before today i wake the wall has fallen they worship no more and the temple is gone them eyes will bleed the tears of sin all ears will hear unleash within hearts of darkness where madness is endless hearts of darkness where badness is endless hearts of darkness where hate is endless hearts of darkness where hope is hopeless hearts of darkness where madness is endless hearts of darkness where badness is endless hearts of darkness where agony is endless hearts of darkness where hearts are heartless
955,962,Foo Fighters,Wattershed,angry,stick it to the mailman pinned against a pot plant sick of all the suntan oily with the ray ban take that to the bank and call it a check masked without a weapon skinny as a spit pan dealin with the shit plan playin with my bad hand just another rock band take that to the man and call it a check trapped within a contract hey there boy while you were catchin the black widow the rest of us were watching melrose i wanna swim in the wattershed i wanna listen to flowerhead i lost a gallon and still i bled i keep on thinkin i get ahead im so pissed at all the disc jam pissed about the five pissed about the green state miss it and i cant wait take that to the man and call it a check trapped within a contract hey man cant you tell its still a problem see you at the devils tower i wanna swim in the wattershed i wanna listen to flowerhead i lost a gallon and still i bled i keep on thinkin i get ahead im so pissed at all the disc jam pissed about the five pissed about the green state i miss it and i cant wait
